AGE,B,CRIM,DIS,INDUS,LSTAT,NOX,PIRATIO,RM,TAX,ZN,RAD,CHAS,MEDV
65.2,396.9,0.00632,4.09,2.31,4.98,0.538,15.3,6.575,296,18,1,0,24
78.9,396.9,0.02731,4.9671,7.07,9.14,0.469,17.8,6.421,242,0,2,0,21.6
61.1,392.83,0.02729,4.9671,7.07,4.03,0.469,17.8,7.185,242,0,2,0,34.7
45.8,394.63,0.03237,6.0622,2.18,2.94,0.458,18.7,6.998,222,0,3,0,33.4
54.2,396.9,0.06905,6.0622,2.18,5.33,0.458,18.7,7.147,222,0,3,0,36.2
58.7,394.12,0.02985,6.0622,2.18,5.21,0.458,18.7,6.43,222,0,3,0,28.7
66.6,395.6,0.08829,5.5605,7.87,12.43,0.524,15.2,6.012,311,12.5,5,0,22.9
96.1,396.9,0.14455,5.9505,7.87,19.15,0.524,15.2,6.172,311,12.5,5,0,27.1
100,386.63,0.21124,6.0821,7.87,29.93,0.524,15.2,5.631,311,12.5,5,0,16.5
85.9,386.71,0.17004,6.5921,7.87,17.1,0.524,15.2,6.004,311,12.5,5,0,18.9
94.3,392.52,0.22489,6.3467,7.87,20.45,0.524,15.2,6.377,311,12.5,5,0,15
82.9,396.9,0.11747,6.2267,7.87,13.27,0.524,15.2,6.009,311,12.5,5,0,18.9
39,390.5,0.09378,5.4509,7.87,15.71,0.524,15.2,5.889,311,12.5,5,0,21.7
61.8,396.9,0.62976,4.7075,8.14,8.26,0.538,21,5.949,307,0,4,0,20.4
84.5,380.02,0.63796,4.4619,8.14,10.26,0.538,21,6.096,307,0,4,0,18.2
56.5,395.62,0.62739,4.4986,8.14,8.47,0.538,21,5.834,307,0,4,0,19.9
29.3,386.85,1.05393,4.4986,8.14,6.58,0.538,21,5.935,307,0,4,0,23.1
81.7,386.75,0.7842,4.2579,8.14,14.67,0.538,21,5.99,307,0,4,0,17.5
36.6,288.99,0.80271,3.7965,8.14,11.69,0.538,21,5.456,307,0,4,0,20.2
69.5,390.95,0.7258,3.7965,8.14,11.28,0.538,21,5.727,307,0,4,0,18.2
98.1,376.57,1.25179,3.7979,8.14,21.02,0.538,21,5.57,307,0,4,0,13.6
89.2,392.53,0.85204,4.0123,8.14,13.83,0.538,21,5.965,307,0,4,0,19.6
91.7,396.9,1.23247,3.9769,8.14,18.72,0.538,21,6.142,307,0,4,0,15.2
100,394.54,0.98843,4.0952,8.14,19.88,0.538,21,5.813,307,0,4,0,14.5
94.1,394.33,0.75026,4.3996,8.14,16.3,0.538,21,5.924,307,0,4,0,15.6
85.7,303.42,0.84054,4.4546,8.14,16.51,0.538,21,5.599,307,0,4,0,13.9
90.3,376.88,0.67191,4.682,8.14,14.81,0.538,21,5.813,307,0,4,0,16.6
88.8,306.38,0.95577,4.4534,8.14,17.28,0.538,21,6.047,307,0,4,0,14.8
94.4,387.94,0.77299,4.4547,8.14,12.8,0.538,21,6.495,307,0,4,0,18.4
87.3,380.23,1.00245,4.239,8.14,11.98,0.538,21,6.674,307,0,4,0,21
94.1,360.17,1.13081,4.233,8.14,22.6,0.538,21,5.713,307,0,4,0,12.7
100,376.73,1.35472,4.175,8.14,13.04,0.538,21,6.072,307,0,4,0,14.5
82,232.6,1.38799,3.99,8.14,27.71,0.538,21,5.95,307,0,4,0,13.2
95,358.77,1.15172,3.7872,8.14,18.35,0.538,21,5.701,307,0,4,0,13.1
96.9,248.31,1.61282,3.7598,8.14,20.34,0.538,21,6.096,307,0,4,0,13.5
68.2,396.9,0.06417,3.3603,5.96,9.68,0.499,19.2,5.933,279,0,5,0,18.9
61.4,377.56,0.09744,3.3779,5.96,11.41,0.499,19.2,5.841,279,0,5,0,20
41.5,396.9,0.08014,3.9342,5.96,8.77,0.499,19.2,5.85,279,0,5,0,21
30.2,393.43,0.17505,3.8473,5.96,10.13,0.499,19.2,5.966,279,0,5,0,24.7
21.8,395.63,0.02763,5.4011,2.95,4.32,0.428,18.3,6.595,252,75,3,0,30.8
15.8,395.62,0.03359,5.4011,2.95,1.98,0.428,18.3,7.024,252,75,3,0,34.9
2.9,385.41,0.12744,5.7209,6.91,4.84,0.448,17.9,6.77,233,0,3,0,26.6
6.6,383.37,0.1415,5.7209,6.91,5.81,0.448,17.9,6.169,233,0,3,0,25.3
6.5,394.46,0.15936,5.7209,6.91,7.44,0.448,17.9,6.211,233,0,3,0,24.7
40,389.39,0.12269,5.7209,6.91,9.55,0.448,17.9,6.069,233,0,3,0,21.2
33.8,396.9,0.17142,5.1004,6.91,10.21,0.448,17.9,5.682,233,0,3,0,19.3
33.3,396.9,0.18836,5.1004,6.91,14.15,0.448,17.9,5.786,233,0,3,0,20
85.5,392.74,0.22927,5.6894,6.91,18.8,0.448,17.9,6.03,233,0,3,0,16.6
95.3,396.9,0.25387,5.87,6.91,30.81,0.448,17.9,5.399,233,0,3,0,14.4
62,396.9,0.21977,6.0877,6.91,16.2,0.448,17.9,5.602,233,0,3,0,19.4
45.7,395.56,0.08873,6.8147,5.64,13.45,0.439,16.8,5.963,243,21,4,0,19.7
63,393.97,0.04337,6.8147,5.64,9.43,0.439,16.8,6.115,243,21,4,0,20.5
21.1,396.9,0.0536,6.8147,5.64,5.28,0.439,16.8,6.511,243,21,4,0,25
21.4,396.9,0.04981,6.8147,5.64,8.43,0.439,16.8,5.998,243,21,4,0,23.4
47.6,396.9,0.0136,7.3197,4,14.8,0.41,21.1,5.888,469,75,3,0,18.9
21.9,395.93,0.01311,8.6966,1.22,4.81,0.403,17.9,7.249,226,90,5,0,35.4
35.7,396.9,0.02055,9.1876,0.74,5.77,0.41,17.3,6.383,313,85,2,0,24.7
40.5,392.9,0.01432,8.3248,1.32,3.95,0.411,15.1,6.816,256,100,5,0,31.6
29.2,390.68,0.15445,7.8148,5.13,6.86,0.453,19.7,6.145,284,25,8,0,23.3
47.2,396.9,0.10328,6.932,5.13,9.22,0.453,19.7,5.927,284,25,8,0,19.6
66.2,395.11,0.14932,7.2254,5.13,13.15,0.453,19.7,5.741,284,25,8,0,18.7
93.4,378.08,0.17171,6.8185,5.13,14.44,0.453,19.7,5.966,284,25,8,0,16
67.8,396.9,0.11027,7.2255,5.13,6.73,0.453,19.7,6.456,284,25,8,0,22.2
43.4,395.58,0.1265,7.9809,5.13,9.5,0.453,19.7,6.762,284,25,8,0,25
59.5,393.24,0.01951,9.2229,1.38,8.05,0.4161,18.6,7.104,216,17.5,3,0,33
17.8,396.9,0.03584,6.6115,3.37,4.67,0.398,16.1,6.29,337,80,4,0,23.5
31.1,396.9,0.04379,6.6115,3.37,10.24,0.398,16.1,5.787,337,80,4,0,19.4
21.4,396.21,0.05789,6.498,6.07,8.1,0.409,18.9,5.878,345,12.5,4,0,22
36.8,396.9,0.13554,6.498,6.07,13.09,0.409,18.9,5.594,345,12.5,4,0,17.4
33,396.9,0.12816,6.498,6.07,8.79,0.409,18.9,5.885,345,12.5,4,0,20.9
6.6,383.73,0.08826,5.2873,10.81,6.72,0.413,19.2,6.417,305,0,4,0,24.2
17.5,376.94,0.15876,5.2873,10.81,9.88,0.413,19.2,5.961,305,0,4,0,21.7
7.8,390.91,0.09164,5.2873,10.81,5.52,0.413,19.2,6.065,305,0,4,0,22.8
6.2,377.17,0.19539,5.2873,10.81,7.54,0.413,19.2,6.245,305,0,4,0,23.4
6,394.92,0.07896,4.2515,12.83,6.78,0.437,18.7,6.273,398,0,5,0,24.1
45,383.23,0.09512,4.5026,12.83,8.94,0.437,18.7,6.286,398,0,5,0,21.4
74.5,373.66,0.10153,4.0522,12.83,11.97,0.437,18.7,6.279,398,0,5,0,20
45.8,386.96,0.08707,4.0905,12.83,10.27,0.437,18.7,6.14,398,0,5,0,20.8
53.7,386.4,0.05646,5.0141,12.83,12.34,0.437,18.7,6.232,398,0,5,0,21.2
36.6,396.06,0.08387,4.5026,12.83,9.1,0.437,18.7,5.874,398,0,5,0,20.3
33.5,396.9,0.04113,5.4007,4.86,5.29,0.426,19,6.727,281,25,4,0,28
70.4,395.63,0.04462,5.4007,4.86,7.22,0.426,19,6.619,281,25,4,0,23.9
